identifier,formula,Species,spacegroup_number,spacegroup_symbol,volume_per_atom,bravais_lattice,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,avg_nn_dist,sum_atn_nn,avg_en_formula,electronegativity,ionization_energy,electron_affinity,oxidation_states
mp-3666,LiTaO3,Ta,161,R3c,10.512489484369372,rhombohedral,5.4768476568179745,5.476847758619139,5.476847362093205,55.89940507067018,55.899407951958544,55.89941376879602,1.95525,64,2.56,1.5,7.549571,0.32885923,"(5,)"
mp-3744,NaNbO2,Nb,194,P6_3/mmc,11.0336746561796,hexagonal,2.97508111,2.975081533364349,11.51547288,90.0,90.0,119.99998406251842,2.759,76,2.3525,1.6,6.75885,0.917407,"(5,)"
mp-3748,AlCuO2,Cu,166,R-3m,9.876661269169858,rhombohedral,5.881352236930663,5.881352334674827,5.881352781567618,27.96363060537005,27.963641779225192,27.963618004662138,2.33,29,2.5975,1.9,7.72638,1.235784,"(2,)"
mp-3771,MgTiO3,Ti,148,R-3,10.25186191467851,rhombohedral,5.47098129421684,5.470981952700048,5.470981813998291,55.071581658766384,55.07158285469784,55.071575705106085,1.929,64,2.634,1.54,6.82812,0.075545,"(4,)"
mp-3792,YAlO3,Y,62,Pnma,10.145587451570243,orthorhombic,5.17603105,5.31735851,7.37249317,90.0,90.0,90.0,2.2852499999999996,128,2.63,1.22,6.21726,0.3112922,"(3,)"
mp-3810,Hg(AsO3)2,Hg,162,P-31m,11.53572009428283,hexagonal,4.87428355,4.874282679352636,5.04585867,90.0,90.0,119.9999991900032,2.379,32,3.0,2.0,10.437504,-0.52,"(1, 2)"
mp-3834,BaZrO3,Zr,221,Pm-3m,14.949092648283042,cubic,4.21238715,4.21238715,4.21238715,90.0,90.0,90.0,2.4915,80,2.508,1.33,6.634126,0.433289,"(4,)"
mp-3858,NaTaO3,Ta,62,Pnma,11.70305179928378,orthorhombic,5.45388623,5.51999928,7.77470694,90.0,90.0,90.0,1.9835,128,2.55,1.5,7.549571,0.32885923,"(5,)"
mp-3915,BaHgO2,Hg,166,R-3m,24.367018845590454,rhombohedral,6.932252308245426,6.932252586112553,6.932253252398,34.922542637774974,34.92254592480359,34.922541330727036,2.6686666666666667,72,2.4425,2.0,10.437504,-0.52,"(1, 2)"
mp-3924,LiNbO2,Nb,194,P6_3/mmc,9.658204808979937,hexagonal,2.921784869999999,2.921784607269662,10.45103486,90.0,90.0,119.99999153959526,2.6319999999999997,44,2.365,1.6,6.75885,0.917407,"(5,)"
mp-3982,KCuO2,Cu,63,Cmcm,17.233879118565042,orthorhombic,4.388239131910865,5.40709198,6.2110320618484405,90.0,110.68693531163724,90.0,1.8225,64,2.4,1.9,7.72638,1.235784,"(2,)"
mp-4035,RbReO4,Re,88,I4_1/a,18.7585018566995,tetragonal,7.726381938850615,7.727568829198471,7.727681067272126,135.2828743382852,135.28727693585674,65.09194771460284,1.7432500000000002,64,2.7466666666666666,1.9,7.83352,0.06039664,"(4,)"
mp-4100,Ca4IrO6,Ir,167,R-3c,13.1241767686252,rhombohedral,6.610416800909078,6.610416800909078,6.610417328672146,90.9774458924346,90.9774458924346,90.97745265556198,2.048,64,2.44,2.2,8.96702,1.56405712,"(3, 4)"
mp-4155,Ca2Nb2O7,Nb,227,Fd-3m,13.470870713642482,cubic,7.483609464358893,7.483609464358893,7.483609464358893,59.99999999999999,59.99999999999999,59.99999999999999,2.003,128,2.6618181818181816,1.6,6.75885,0.917407,"(5,)"
mp-4156,Li2ZrO3,Zr,15,C2/c,10.06296715529734,monoclinic,5.247199161562476,5.247199712402951,5.384959081612972,100.90240721097622,100.9024075757632,118.7086814998458,2.0865,64,2.268333333333333,1.33,6.634126,0.433289,"(4,)"
mp-4163,Ca3Ti2O7,Ti,36,Cmc2_1,11.9700572669893,orthorhombic,10.091556027512691,10.091556027512691,5.45650973,90.0,90.0,148.86990602117555,1.9475,128,2.513333333333333,1.54,6.82812,0.075545,"(4,)"
mp-4165,TaNO,Ta,14,P2_1/c,10.716315962100143,monoclinic,4.979142917553716,5.04121064,5.195280151898993,90.0,99.55842850166938,90.0,2.05225,120,2.66,1.5,7.549571,0.32885923,"(5,)"
mp-4170,NaTaO3,Ta,221,Pm-3m,12.305930988919725,cubic,3.9478540636650945,3.947854129965417,3.9478649999999993,90.0,90.0,90.00441199601983,2.33525,35,2.55,1.5,7.549571,0.32885923,"(5,)"
mp-4200,ScPO4,Sc,141,I4_1/amd,10.490170572856425,tetragonal,5.487764147107227,5.487764202903866,5.487764930425293,106.20393286935936,106.20392412784776,116.22427760256554,2.162,64,2.885,1.36,6.56149,0.17938023,"(3,)"
mp-4280,GaCuO2,Cu,166,R-3m,10.947850409012876,rhombohedral,5.9802036186322765,5.9802034644205495,5.980204756067092,28.765329844561517,28.765339770862887,28.76534190972393,2.348333333333333,47,2.6475,1.9,7.72638,1.235784,"(2,)"
mp-430,TiO2,Ti,14,P2_1/c,9.704277093248924,monoclinic,4.81269978142931,5.040994940930291,4.87188446,90.0,90.0,99.85606391626618,1.96225,128,2.806666666666666,1.54,6.82812,0.075545,"(4,)"
mp-4359,Sr2PdO3,Pd,71,Immm,15.135296607802443,orthorhombic,3.539867388582256,4.0053543848085615,6.940131078389579,106.7697557743973,104.77529681979212,90.00000887093238,2.344,62,2.4033333333333333,2.2,8.336839,0.5621412,"(2, 4)"
mp-4405,Rb3AuO,Au,221,Pm-3m,33.444595053460475,cubic,5.50932825,5.50932825,5.50932825,90.0,90.0,90.0,4.11475,119,1.688,2.54,9.225554,2.30861025,"(3,)"
mp-4471,ScAlO3,Sc,62,Pnma,9.553503967873125,orthorhombic,4.97364,5.264203,7.297695,90.0,90.0,90.0,2.1205,128,2.6580000000000004,1.36,6.56149,0.17938023,"(3,)"
mp-4541,NaCuO2,Cu,12,C2/m,11.32667240249123,monoclinic,3.4563002677084422,3.4563002677084422,6.051227193663083,62.26509880244218,62.26509880244218,46.63761005013574,2.23,27,2.4275,1.9,7.72638,1.235784,"(2,)"
mp-4571,CaZrO3,Zr,62,Pnma,12.93632503931826,orthorhombic,5.58500572,5.77809678,8.01738023,90.0,90.0,90.0,2.1,128,2.53,1.33,6.634126,0.433289,"(4,)"
mp-4598,Sr4PtO6,Pt,167,R-3c,14.939298514437551,rhombohedral,6.901091349861916,6.901091349861916,6.901090842835937,90.04547315190554,90.04547315190554,90.0454716955817,2.072,64,2.429090909090909,2.28,8.95883,2.125105,"(2, 4)"
mp-4609,HfSiO4,Hf,141,I4_1/amd,10.673237112220086,tetragonal,5.5106582502598265,5.510657271715527,5.510656834750069,107.03008733851978,107.0300691013425,114.47226175849627,2.104,64,2.8266666666666667,1.3,6.82507,0.17807,"(4,)"
mp-4624,TaBO4,Ta,141,I4_1/amd,8.869492895218075,tetragonal,5.187911330178904,5.1879113007551885,5.187912959673271,106.3164476818059,106.31642880982872,115.983727003788,2.042,64,2.8833333333333333,1.5,7.549571,0.32885923,"(5,)"
mp-4649,PdSe2O5,Pd,15,C2/c,14.918736698221506,monoclinic,5.6873900200000005,6.764203511906499,7.14669434655117,105.28534566230194,89.99999999932707,114.86006156155617,2.027,64,3.0625,2.2,8.336839,0.5621412,"(2, 4)"
mp-4651,SrTiO3,Ti,140,I4/mcm,11.962507795144642,tetragonal,5.522329700714994,5.522329559400709,5.534898478941332,119.92490712678152,119.92490461029364,89.99999866323975,1.959,64,2.5620000000000003,1.54,6.82812,0.075545,"(4,)"
mp-4662,ScOF,Sc,14,P2_1/c,12.349413371054004,monoclinic,4.88296744,5.284350604926475,5.744606212458282,88.72142791615538,90.0,90.0,2.04325,132,2.9266666666666663,1.36,6.56149,0.17938023,"(3,)"
mp-4675,NaTaO3,Ta,127,P4/mbm,11.877001155706727,tetragonal,3.95914,5.477129,5.477129,90.0,90.0,90.0,1.98,64,2.55,1.5,7.549571,0.32885923,"(5,)"
mp-4690,K3TaO8,Ta,121,I-42m,15.01799993331725,tetragonal,6.187476203352759,6.187476203352759,6.187476203352759,113.20287229984451,113.20287229984451,102.2409918424127,2.007,32,2.6233333333333335,1.5,7.549571,0.32885923,"(5,)"
mp-4691,Ag2CO3,Ag,11,P2_1/m,12.503451779203736,monoclinic,3.1680866919450303,4.9152003959364805,9.65844039,90.0,90.0,93.95237961414377,2.3630000000000004,284,2.7883333333333336,1.93,7.576234,1.304473,"(1,)"
mp-4710,Hg3(BO3)2,Hg,167,R-3c,13.795151495423491,rhombohedral,6.764695581600498,6.764695581600498,6.764695982706662,83.19331532116513,83.19331532116513,83.19331021336295,2.3775,192,2.7927272727272725,2.0,10.437504,-0.52,"(1, 2)"
mp-4748,NaNbO3,Nb,63,Cmcm,12.371766413017587,orthorhombic,5.581053514769859,5.581053514769859,7.944256,90.0,90.0,90.60105371470894,2.012,128,2.5700000000000003,1.6,6.75885,0.917407,"(5,)"
mp-4757,KReO4,Re,88,I4_1/a,16.858563738706554,tetragonal,7.440280211192098,7.440280211192098,7.440280211192098,135.08585537169225,135.08585537169225,65.39682887152122,1.744,64,2.7466666666666666,1.9,7.83352,0.06039664,"(4,)"
mp-4759,ZrTe3O8,Zr,206,Ia-3,15.228698490138036,cubic,9.828879393305382,9.828942561249132,9.82905211945619,109.47206843246244,109.47025082368096,109.47069422424605,2.082,128,2.9291666666666667,1.33,6.634126,0.433289,"(4,)"
mp-4784,CaPtO3,Pt,63,Cmcm,11.494236831033714,orthorhombic,3.149575090721813,5.196789836733268,7.368905550000002,89.99999908437105,90.00000259521822,107.63728474292964,2.0355,64,2.72,2.28,8.95883,2.125105,"(2, 4)"
mp-4788,K(OsO3)2,Os,227,Fd-3m,14.465188657272671,cubic,7.167546762167046,7.167546762167046,7.167546762167046,60.00000000000001,60.00000000000001,60.00000000000001,1.912,128,2.873333333333333,2.2,8.43823,1.07766124,"(4,)"
mp-4820,ZrSiO4,Zr,141,I4_1/amd,10.947051990309676,tetragonal,5.5585207048904035,5.558520689244163,5.558520737870814,106.908003340207,106.90801515161588,114.72908079364214,2.134,64,2.8316666666666666,1.33,6.634126,0.433289,"(4,)"
mp-4930,TiAl2O5,Ti,63,Cmcm,10.139145134685212,orthorhombic,5.005073297022919,5.005073822443523,9.666436000000049,90.00000981665177,89.99998877326219,137.93779155460567,1.94075,64,2.745,1.54,6.82812,0.075545,"(4,)"
mp-4957,CaNbO3,Nb,62,Pnma,12.683678528678069,orthorhombic,5.558866,5.716317,7.983121,90.0,90.0,90.0,2.0585,128,2.584,1.6,6.75885,0.917407,"(5,)"
